Theta(deg),Phi(deg),rEPhi_Real,rEPhi_Imag,rETheta_Real,rETheta_Imag,rETotal,RealizedGain,RealizedGain_Total,RealizedGain_dB,RealizedGain_Theta,RealizedGain_Phi,Gain,Gain_Total,Gain_dB,Gain_Theta,Gain_Phi,Directivity,Directivity_Total,Directivity_dB,Directivity_Theta,Directivity_Phi
0.0,-180.0,-0.0002237432162342001,1.47539135292831e-05,-0.04528241285698212,-0.00630048270214145,0.04571917841710345,0.0034836567200951666,0.0034836567200951666,-24.57964646980557,0.0034835729242280295,8.379586713737227e-08,0.6572937207726729,0.6572937207726729,-1.8224051658134628,0.6572779102317037,1.5810540969315523e-05,0.8496723707549187,0.8496723707549187,-0.7074850370029264,0.8496519327385439,2.0438016374968845e-05
0.0,-175.0,0.003723730520209875,0.0005638210200078837,-0.04512960011112272,-0.006275221574999996,0.04571917841710347,0.00348365672009517,0.00348365672009517,-24.579646469805567,0.0034600171718052676,2.363954828989998e-05,0.6572937207726736,0.6572937207726736,-1.8224051658134583,0.6528334286425034,0.004460292130169808,0.8496723707549194,0.8496723707549194,-0.707485037002923,0.8439066272695775,0.005765743485341459
0.0,-170.0,0.007642864418945181,0.001108597108079789,-0.04463332385842009,-0.006202202222590401,0.045719178417103455,0.0034836567200951683,0.0034836567200951683,-24.57964646980557,0.003384255121782738,9.940159831242928e-05,0.6572937207726732,0.6572937207726732,-1.8224051658134606,0.6385387022231582,0.01875501854951496,0.849672370754919,0.849672370754919,-0.7074850370029253,0.8254280784835947,0.024244292271324217
0.0,-165.0,0.01150383150456463,0.001644936102769963,-0.04379736106081709,-0.006081980366274794,0.045719178417103455,0.0034836567200951683,0.0034836567200951683,-24.57964646980557,0.00325858876571293,0.0002250679543822389,0.6572937207726732,0.6572937207726732,-1.8224051658134606,0.6148280690024396,0.04246565177023375,0.849672370754919,0.849672370754919,-0.7074850370029253,0.7947777477348609,0.054894623020058264
0.0,-160.0,0.01527724748623094,0.002168756140478492,-0.04262807389997161,-0.00591547096697169,0.04571917841710345,0.0034836567200951666,0.0034836567200951666,-24.57964646980557,0.003086836412234777,0.0003968203078603905,0.6572937207726729,0.6572937207726729,-1.8224051658134628,0.5824219645725994,0.07487175620007368,0.8496723707549187,0.8496723707549187,-0.7074850370029264,0.7528869298133603,0.09678544094155865
0.0,-155.0,0.01893439438987279,0.002676070634427214,-0.04113436135721259,-0.005703941261750902,0.045719178417103455,0.0034836567200951683,0.0034836567200951683,-24.57964646980557,0.0028742166696978317,0.0006094400503973355,0.6572937207726732,0.6572937207726732,-1.8224051658134606,0.5423050320184588,0.11498868875421427,0.849672370754919,0.849672370754919,-0.7074850370029253,0.7010284560238613,0.14864391473105745
0.0,-150.0,0.0224474391193078,0.003163018614992321,-0.03932759148691872,-0.005449001119394287,0.04571917841710347,0.00348365672009517,0.00348365672009517,-24.579646469805567,0.0026271898813883003,0.0008564668387068707,0.6572937207726736,0.6572937207726736,-1.8224051658134583,0.49569620403552833,0.1615975167371454,0.8496723707549194,0.8496723707549194,-0.707485037002923,0.640778019850805,0.20889435090411482
0.0,-145.0,0.02578964528291054,0.003625894114014473,-0.03722151489876038,-0.005152590788322257,0.04571917841710347,0.00348365672009517,0.00348365672009517,-24.579646469805567,0.0023532618312673732,0.0011303948888277957,0.6572937207726736,0.6572937207726736,-1.8224051658134583,0.4440116662768629,0.21328205449581053,0.8496723707549194,0.8496723707549194,-0.707485037002923,0.5739663003091154,0.27570607044580386
0.0,-140.0,0.02893557667369677,0.004061174369454251,-0.03483216010725729,-0.0048169661301317,0.04571917841710346,0.0034836567200951687,0.0034836567200951687,-24.579646469805567,0.0020607556845236978,0.0014229010355714703,0.6572937207726733,0.6572937207726733,-1.8224051658134597,0.38882182726862224,0.268471893504051,0.8496723707549192,0.8496723707549192,-0.7074850370029241,0.5026233376887068,0.34704903306621226
0.0,-135.0,0.03186129085421727,0.004465546635738346,-0.03217771154510466,-0.00444468145112717,0.045719178417103455,0.0034836567200951683,0.0034836567200951683,-24.57964646980557,0.0017585590924108308,0.001725097627684338,0.6572937207726732,0.6572937207726732,-1.8224051658134606,0.33180360234166617,0.32549011843100717,0.849672370754919,0.849672370754919,-0.7074850370029253,0.42891685180751965,0.4207555189473995
