Phi[deg],Theta[deg],dB(GainTotal),Array_Data
-180,-180,16.0906,"1,1,1,0,0,0,0,1,0,1,1,1,0,0,1;1,1,0,1,1,0,0,1,0,1,0,1,0,0,0;1,0,1,0,1,0,1,0,0,1,1,0,0,0,1;0,0,1,1,1,1,0,0,0,1,1,0,0,0,0;1,1,1,1,1,1,1,1,1,0,1,0,0,0,1;0,0,1,0,0,1,0,1,1,0,0,1,1,1,1;0,1,0,0,0,0,0,0,1,0,1,0,1,1,0;0,0,0,1,1,0,1,0,0,1,0,0,0,0,0;0,0,1,0,0,1,0,1,0,0,1,1,0,1,1;0,1,0,1,1,1,0,0,0,0,1,1,0,0,0;1,0,0,1,0,0,0,0,1,0,0,0,1,0,1;1,0,0,1,0,0,0,1,1,0,1,0,0,1,0;0,0,1,1,1,0,0,1,1,1,0,0,1,1,0;1,1,0,1,1,0,0,0,0,1,0,1,0,0,1;0,1,0,0,1,1,1,0,0,0,0,1,0,1,1"
-178,-180,16.0906,
-176,-180,16.0906,
-174,-180,16.0906,
-172,-180,16.0906,
-170,-180,16.0906,
-168,-180,16.0906,
-166,-180,16.0906,
-164,-180,16.0906,
-162,-180,16.0906,
-160,-180,16.0906,
-158,-180,16.0906,
-156,-180,16.0906,
-154,-180,16.0906,
-152,-180,16.0906,
-150,-180,16.0906,
-148,-180,16.0906,
-146,-180,16.0906,
-144,-180,16.0906,
-142,-180,16.0906,
-140,-180,16.0906,
-138,-180,16.0906,
-136,-180,16.0906,
-134,-180,16.0906,
-132,-180,16.0906,
-130,-180,16.0906,
-128,-180,16.0906,
-126,-180,16.0906,
-124,-180,16.0906,
-122,-180,16.0906,
-120,-180,16.0906,
-118,-180,16.0906,
-116,-180,16.0906,
-114,-180,16.0906,
-112,-180,16.0906,
-110,-180,16.0906,
-108,-180,16.0906,
-106,-180,16.0906,
-104,-180,16.0906,
-102,-180,16.0906,
-100,-180,16.0906,
-98,-180,16.0906,
-96,-180,16.0906,
-94,-180,16.0906,
-92,-180,16.0906,
-90,-180,16.0906,
-88,-180,16.0906,
-86,-180,16.0906,
-84,-180,16.0906,
-82,-180,16.0906,
-80,-180,16.0906,
-78,-180,16.0906,
-76,-180,16.0906,
-74,-180,16.0906,
-72,-180,16.0906,
-70,-180,16.0906,
-68,-180,16.0906,
-66,-180,16.0906,
-64,-180,16.0906,
-62,-180,16.0906,
-60,-180,16.0906,
-58,-180,16.0906,
-56,-180,16.0906,
-54,-180,16.0906,
-52,-180,16.0906,
-50,-180,16.0906,
-48,-180,16.0906,
-46,-180,16.0906,
-44,-180,16.0906,
-42,-180,16.0906,
-40,-180,16.0906,
-38,-180,16.0906,
-36,-180,16.0906,
-34,-180,16.0906,
-32,-180,16.0906,
-30,-180,16.0906,
-28,-180,16.0906,
-26,-180,16.0906,
-24,-180,16.0906,
-22,-180,16.0906,
-20,-180,16.0906,
-18,-180,16.0906,
-16,-180,16.0906,
-14,-180,16.0906,
-12,-180,16.0906,
-10,-180,16.0906,
-8,-180,16.0906,
-6,-180,16.0906,
-4,-180,16.0906,
-2,-180,16.0906,
0,-180,16.0906,
2,-180,16.0906,
4,-180,16.0906,
6,-180,16.0906,
8,-180,16.0906,
10,-180,16.0906,
12,-180,16.0906,
14,-180,16.0906,
16,-180,16.0906,
18,-180,16.0906,
20,-180,16.0906,
22,-180,16.0906,
24,-180,16.0906,
26,-180,16.0906,
28,-180,16.0906,
30,-180,16.0906,
32,-180,16.0906,
34,-180,16.0906,
36,-180,16.0906,
38,-180,16.0906,
40,-180,16.0906,
42,-180,16.0906,
44,-180,16.0906,
46,-180,16.0906,
48,-180,16.0906,
50,-180,16.0906,
52,-180,16.0906,
54,-180,16.0906,
56,-180,16.0906,
58,-180,16.0906,
60,-180,16.0906,
62,-180,16.0906,
64,-180,16.0906,
66,-180,16.0906,
68,-180,16.0906,
70,-180,16.0906,
72,-180,16.0906,
74,-180,16.0906,
76,-180,16.0906,
78,-180,16.0906,
80,-180,16.0906,
82,-180,16.0906,
84,-180,16.0906,
86,-180,16.0906,
88,-180,16.0906,
90,-180,16.0906,
92,-180,16.0906,
94,-180,16.0906,
96,-180,16.0906,
98,-180,16.0906,
100,-180,16.0906,
102,-180,16.0906,
104,-180,16.0906,
106,-180,16.0906,
108,-180,16.0906,
110,-180,16.0906,
112,-180,16.0906,
114,-180,16.0906,
116,-180,16.0906,
118,-180,16.0906,
120,-180,16.0906,
122,-180,16.0906,
124,-180,16.0906,
126,-180,16.0906,
128,-180,16.0906,
130,-180,16.0906,
132,-180,16.0906,
134,-180,16.0906,
136,-180,16.0906,
138,-180,16.0906,
140,-180,16.0906,
142,-180,16.0906,
144,-180,16.0906,
146,-180,16.0906,
148,-180,16.0906,
150,-180,16.0906,
152,-180,16.0906,
154,-180,16.0906,
156,-180,16.0906,
158,-180,16.0906,
160,-180,16.0906,
162,-180,16.0906,
164,-180,16.0906,
166,-180,16.0906,
168,-180,16.0906,
170,-180,16.0906,
172,-180,16.0906,
174,-180,16.0906,
176,-180,16.0906,
178,-180,16.0906,
180,-180,16.0906,
-180,-178,13.5863,
-178,-178,13.5704,
-176,-178,13.555,
-174,-178,13.5402,
